GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.5_1,Laelay Maychew
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.7_1,Selti
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.8_1,Wilbareg
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.5_1,Misrak Azenet Berbere
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.6_1,Sankura
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.3_1,Damot Gale
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.4_1,Damot Pulasa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.1_1,Boloso Bombe
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.2_1,Boloso sore
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.7_1,Diguna Fango
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.8_1,Humbo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.5_1,Damot Sore
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.6_1,Damot Weydie
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.11_1,Ofa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.12_1,Sodo Zuria
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.9_1,Kindo Dida
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.21_1,Wolayita,ETH.10.21.10_1,Kindo Koysha
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.5_1,Semien Mi'irabaw,ETH.11.5.6_1,Tselemti
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.5_1,Semien Mi'irabaw,ETH.11.5.4_1,Tahtay Adiyabo
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.5_1,Semien Mi'irabaw,ETH.11.5.5_1,Tahtay Koraro
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.10_1,Werei Leke
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.3_1,Mi'irabawi,ETH.11.3.1_1,Kafta Humera
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.8_1,Tahtay Maychew
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.9_1,Tanqua Abergele
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.1_1,Atsbi Wenberta
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.2_1,Erob
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.3_1,Mi'irabawi,ETH.11.3.2_1,Tsegede
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.3_1,Mi'irabawi,ETH.11.3.3_1,Welkait
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.5_1,Hawzen
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.6_1,Kelete Awelallo
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.3_1,Ganta Afeshum
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.4_1,Gulomekeda
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.5_1,Semien Mi'irabaw,ETH.11.5.2_1,Laelay Adiyabo
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.5_1,Semien Mi'irabaw,ETH.11.5.3_1,Medebay Zana
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.4_1,Misraqawi,ETH.11.4.7_1,Saesie Tsaedaemba
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.5_1,Semien Mi'irabaw,ETH.11.5.1_1,Asgede Tsimbila
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.4_1,Debub Mirab Shewa,ETH.8.4.13_1,Wenchi
